"year","age","week","deaths","pop_start","pop_end","weekMax","season","pop_midweek","exposure"
2006,"75-79",21,2230,3055125,3063276,52,0.394230769230769,3058338.375,58814.1995192308
2006,"75-79",22,2167,3055125,3063276,52,0.413461538461538,3058495.125,58817.2139423077
2006,"75-79",23,2283,3055125,3063276,52,0.432692307692308,3058651.875,58820.2283653846
2006,"75-79",24,2404,3055125,3063276,52,0.451923076923077,3058808.625,58823.2427884615
2006,"75-79",25,2239,3055125,3063276,52,0.471153846153846,3058965.375,58826.2572115385
2006,"75-79",26,2234,3055125,3063276,52,0.490384615384615,3059122.125,58829.2716346154
2006,"75-79",27,2373,3055125,3063276,52,0.509615384615385,3059278.875,58832.2860576923
2006,"75-79",28,2328,3055125,3063276,52,0.528846153846154,3059435.625,58835.3004807692
2006,"75-79",29,2502,3055125,3063276,52,0.548076923076923,3059592.375,58838.3149038462
2006,"75-79",30,2614,3055125,3063276,52,0.567307692307692,3059749.125,58841.3293269231
2006,"75-79",31,2101,3055125,3063276,52,0.586538461538462,3059905.875,58844.34375
2006,"75-79",32,2133,3055125,3063276,52,0.605769230769231,3060062.625,58847.3581730769
2006,"75-79",33,2211,3055125,3063276,52,0.625,3060219.375,58850.3725961538
2006,"75-79",34,2185,3055125,3063276,52,0.644230769230769,3060376.125,58853.3870192308
2006,"75-79",35,2176,3055125,3063276,52,0.663461538461538,3060532.875,58856.4014423077
2006,"75-79",36,2218,3055125,3063276,52,0.682692307692308,3060689.625,58859.4158653846
2006,"75-79",37,2241,3055125,3063276,52,0.701923076923077,3060846.375,58862.4302884615
2006,"75-79",38,2110,3055125,3063276,52,0.721153846153846,3061003.125,58865.4447115385
2006,"75-79",39,2136,3055125,3063276,52,0.740384615384615,3061159.875,58868.4591346154
2006,"75-79",40,2098,3055125,3063276,52,0.759615384615385,3061316.625,58871.4735576923
2006,"75-79",41,2125,3055125,3063276,52,0.778846153846154,3061473.375,58874.4879807692
2006,"75-79",42,2256,3055125,3063276,52,0.798076923076923,3061630.125,58877.5024038462
2006,"75-79",43,2217,3055125,3063276,52,0.817307692307692,3061786.875,58880.5168269231
2006,"75-79",44,2311,3055125,3063276,52,0.836538461538462,3061943.625,58883.53125
2006,"75-79",45,2283,3055125,3063276,52,0.855769230769231,3062100.375,58886.5456730769
2006,"75-79",46,2207,3055125,3063276,52,0.875,3062257.125,58889.5600961538
2006,"75-79",47,2162,3055125,3063276,52,0.894230769230769,3062413.875,58892.5745192308
2006,"75-79",48,2243,3055125,3063276,52,0.913461538461538,3062570.625,58895.5889423077
2006,"75-79",49,2261,3055125,3063276,52,0.932692307692308,3062727.375,58898.6033653846
2006,"75-79",50,2225,3055125,3063276,52,0.951923076923077,3062884.125,58901.6177884615
2006,"75-79",51,2358,3055125,3063276,52,0.971153846153846,3063040.875,58904.6322115385
2006,"75-79",52,2358,3055125,3063276,52,0.990384615384615,3063197.625,58907.6466346154
2006,"80-84",1,3083,2158010,2165181,52,0.00961538461538462,2158078.95192308,41501.518306213
2006,"80-84",2,3058,2158010,2165181,52,0.0288461538461538,2158216.85576923,41504.1703032544
2006,"80-84",3,3026,2158010,2165181,52,0.0480769230769231,2158354.75961538,41506.8223002959
2006,"80-84",4,3010,2158010,2165181,52,0.0673076923076923,2158492.66346154,41509.4742973373
2006,"80-84",5,3148,2158010,2165181,52,0.0865384615384615,2158630.56730769,41512.1262943787
2006,"80-84",6,3124,2158010,2165181,52,0.105769230769231,2158768.47115385,41514.7782914201
2006,"80-84",7,2991,2158010,2165181,52,0.125,2158906.375,41517.4302884615
2006,"80-84",8,2994,2158010,2165181,52,0.144230769230769,2159044.27884615,41520.082285503
2006,"80-84",9,3181,2158010,2165181,52,0.163461538461538,2159182.18269231,41522.7342825444
2006,"80-84",10,3032,2158010,2165181,52,0.182692307692308,2159320.08653846,41525.3862795858
2006,"80-84",11,2980,2158010,2165181,52,0.201923076923077,2159457.99038462,41528.0382766272
2006,"80-84",12,3021,2158010,2165181,52,0.221153846153846,2159595.89423077,41530.6902736686
2006,"80-84",13,3036,2158010,2165181,52,0.240384615384615,2159733.79807692,41533.3422707101
2006,"80-84",14,2968,2158010,2165181,52,0.259615384615385,2159871.70192308,41535.9942677515
2006,"80-84",15,2867,2158010,2165181,52,0.278846153846154,2160009.60576923,41538.6462647929
2006,"80-84",16,2950,2158010,2165181,52,0.298076923076923,2160147.50961538,41541.2982618343
