"statistic","country","year","week","age","sex","deaths","quality"
"Statistik der Sterbefälle","Germany",2000,9,"45-49","Female","133","e"
"Statistik der Sterbefälle","Germany",2000,9,"50-54","Male","317","e"
"Statistik der Sterbefälle","Germany",2000,9,"50-54","Female","132","e"
"Statistik der Sterbefälle","Germany",2000,9,"55-59","Male","505","e"
"Statistik der Sterbefälle","Germany",2000,9,"55-59","Female","250","e"
"Statistik der Sterbefälle","Germany",2000,9,"60-64","Male","823","e"
"Statistik der Sterbefälle","Germany",2000,9,"60-64","Female","371","e"
"Statistik der Sterbefälle","Germany",2000,9,"65-69","Male","949","e"
"Statistik der Sterbefälle","Germany",2000,9,"65-69","Female","502","e"
"Statistik der Sterbefälle","Germany",2000,9,"70-74","Male","1220","e"
"Statistik der Sterbefälle","Germany",2000,9,"70-74","Female","856","e"
"Statistik der Sterbefälle","Germany",2000,9,"75-79","Male","1118","e"
"Statistik der Sterbefälle","Germany",2000,9,"75-79","Female","1447","e"
"Statistik der Sterbefälle","Germany",2000,9,"80-84","Male","808","e"
"Statistik der Sterbefälle","Germany",2000,9,"80-84","Female","1282","e"
"Statistik der Sterbefälle","Germany",2000,9,"85-89","Male","927","e"
"Statistik der Sterbefälle","Germany",2000,9,"85-89","Female","2286","e"
"Statistik der Sterbefälle","Germany",2000,9,"90-94","Male","444","e"
"Statistik der Sterbefälle","Germany",2000,9,"90-94","Female","1395","e"
"Statistik der Sterbefälle","Germany",2000,9,"95+","Male","87","e"
"Statistik der Sterbefälle","Germany",2000,9,"95+","Female","461","e"
"Statistik der Sterbefälle","Germany",2000,10,"0-29","Male","171","e"
"Statistik der Sterbefälle","Germany",2000,10,"0-29","Female","93","e"
"Statistik der Sterbefälle","Germany",2000,10,"30-34","Male","59","e"
"Statistik der Sterbefälle","Germany",2000,10,"30-34","Female","24","e"
"Statistik der Sterbefälle","Germany",2000,10,"35-39","Male","112","e"
"Statistik der Sterbefälle","Germany",2000,10,"35-39","Female","55","e"
"Statistik der Sterbefälle","Germany",2000,10,"40-44","Male","153","e"
"Statistik der Sterbefälle","Germany",2000,10,"40-44","Female","59","e"
"Statistik der Sterbefälle","Germany",2000,10,"45-49","Male","223","e"
"Statistik der Sterbefälle","Germany",2000,10,"45-49","Female","111","e"
"Statistik der Sterbefälle","Germany",2000,10,"50-54","Male","314","e"
"Statistik der Sterbefälle","Germany",2000,10,"50-54","Female","151","e"
"Statistik der Sterbefälle","Germany",2000,10,"55-59","Male","478","e"
"Statistik der Sterbefälle","Germany",2000,10,"55-59","Female","243","e"
"Statistik der Sterbefälle","Germany",2000,10,"60-64","Male","800","e"
"Statistik der Sterbefälle","Germany",2000,10,"60-64","Female","418","e"
"Statistik der Sterbefälle","Germany",2000,10,"65-69","Male","903","e"
"Statistik der Sterbefälle","Germany",2000,10,"65-69","Female","515","e"
"Statistik der Sterbefälle","Germany",2000,10,"70-74","Male","1139","e"
"Statistik der Sterbefälle","Germany",2000,10,"70-74","Female","819","e"
"Statistik der Sterbefälle","Germany",2000,10,"75-79","Male","1205","e"
"Statistik der Sterbefälle","Germany",2000,10,"75-79","Female","1378","e"
"Statistik der Sterbefälle","Germany",2000,10,"80-84","Male","758","e"
"Statistik der Sterbefälle","Germany",2000,10,"80-84","Female","1265","e"
"Statistik der Sterbefälle","Germany",2000,10,"85-89","Male","1005","e"
"Statistik der Sterbefälle","Germany",2000,10,"85-89","Female","2206","e"
"Statistik der Sterbefälle","Germany",2000,10,"90-94","Male","421","e"
"Statistik der Sterbefälle","Germany",2000,10,"90-94","Female","1302","e"
"Statistik der Sterbefälle","Germany",2000,10,"95+","Male","94","e"
"Statistik der Sterbefälle","Germany",2000,10,"95+","Female","434","e"
"Statistik der Sterbefälle","Germany",2000,11,"0-29","Male","158","e"
"Statistik der Sterbefälle","Germany",2000,11,"0-29","Female","85","e"
"Statistik der Sterbefälle","Germany",2000,11,"30-34","Male","62","e"
"Statistik der Sterbefälle","Germany",2000,11,"30-34","Female","25","e"
"Statistik der Sterbefälle","Germany",2000,11,"35-39","Male","92","e"
"Statistik der Sterbefälle","Germany",2000,11,"35-39","Female","32","e"
"Statistik der Sterbefälle","Germany",2000,11,"40-44","Male","135","e"
"Statistik der Sterbefälle","Germany",2000,11,"40-44","Female","68","e"
"Statistik der Sterbefälle","Germany",2000,11,"45-49","Male","223","e"
"Statistik der Sterbefälle","Germany",2000,11,"45-49","Female","96","e"
"Statistik der Sterbefälle","Germany",2000,11,"50-54","Male","256","e"
"Statistik der Sterbefälle","Germany",2000,11,"50-54","Female","145","e"
"Statistik der Sterbefälle","Germany",2000,11,"55-59","Male","462","e"
"Statistik der Sterbefälle","Germany",2000,11,"55-59","Female","258","e"
"Statistik der Sterbefälle","Germany",2000,11,"60-64","Male","754","e"
"Statistik der Sterbefälle","Germany",2000,11,"60-64","Female","384","e"
"Statistik der Sterbefälle","Germany",2000,11,"65-69","Male","888","e"
"Statistik der Sterbefälle","Germany",2000,11,"65-69","Female","499","e"
"Statistik der Sterbefälle","Germany",2000,11,"70-74","Male","1071","e"
"Statistik der Sterbefälle","Germany",2000,11,"70-74","Female","769","e"
"Statistik der Sterbefälle","Germany",2000,11,"75-79","Male","1116","e"
"Statistik der Sterbefälle","Germany",2000,11,"75-79","Female","1340","e"
"Statistik der Sterbefälle","Germany",2000,11,"80-84","Male","747","e"
"Statistik der Sterbefälle","Germany",2000,11,"80-84","Female","1231","e"
"Statistik der Sterbefälle","Germany",2000,11,"85-89","Male","949","e"
"Statistik der Sterbefälle","Germany",2000,11,"85-89","Female","2088","e"
"Statistik der Sterbefälle","Germany",2000,11,"90-94","Male","430","e"
"Statistik der Sterbefälle","Germany",2000,11,"90-94","Female","1337","e"
"Statistik der Sterbefälle","Germany",2000,11,"95+","Male","88","e"
"Statistik der Sterbefälle","Germany",2000,11,"95+","Female","439","e"
"Statistik der Sterbefälle","Germany",2000,12,"0-29","Male","167","e"
"Statistik der Sterbefälle","Germany",2000,12,"0-29","Female","91","e"
"Statistik der Sterbefälle","Germany",2000,12,"30-34","Male","70","e"
"Statistik der Sterbefälle","Germany",2000,12,"30-34","Female","27","e"
"Statistik der Sterbefälle","Germany",2000,12,"35-39","Male","103","e"
"Statistik der Sterbefälle","Germany",2000,12,"35-39","Female","49","e"
"Statistik der Sterbefälle","Germany",2000,12,"40-44","Male","155","e"
"Statistik der Sterbefälle","Germany",2000,12,"40-44","Female","75","e"
"Statistik der Sterbefälle","Germany",2000,12,"45-49","Male","212","e"
"Statistik der Sterbefälle","Germany",2000,12,"45-49","Female","106","e"
"Statistik der Sterbefälle","Germany",2000,12,"50-54","Male","253","e"
"Statistik der Sterbefälle","Germany",2000,12,"50-54","Female","112","e"
"Statistik der Sterbefälle","Germany",2000,12,"55-59","Male","485","e"
"Statistik der Sterbefälle","Germany",2000,12,"55-59","Female","214","e"
"Statistik der Sterbefälle","Germany",2000,12,"60-64","Male","791","e"
"Statistik der Sterbefälle","Germany",2000,12,"60-64","Female","374","e"
"Statistik der Sterbefälle","Germany",2000,12,"65-69","Male","967","e"
"Statistik der Sterbefälle","Germany",2000,12,"65-69","Female","449","e"
"Statistik der Sterbefälle","Germany",2000,12,"70-74","Male","1139","e"
"Statistik der Sterbefälle","Germany",2000,12,"70-74","Female","785","e"
"Statistik der Sterbefälle","Germany",2000,12,"75-79","Male","1111","e"
"Statistik der Sterbefälle","Germany",2000,12,"75-79","Female","1326","e"
"Statistik der Sterbefälle","Germany",2000,12,"80-84","Male","786","e"
"Statistik der Sterbefälle","Germany",2000,12,"80-84","Female","1248","e"
"Statistik der Sterbefälle","Germany",2000,12,"85-89","Male","923","e"
"Statistik der Sterbefälle","Germany",2000,12,"85-89","Female","2083","e"
"Statistik der Sterbefälle","Germany",2000,12,"90-94","Male","396","e"
"Statistik der Sterbefälle","Germany",2000,12,"90-94","Female","1310","e"
"Statistik der Sterbefälle","Germany",2000,12,"95+","Male","85","e"
"Statistik der Sterbefälle","Germany",2000,12,"95+","Female","448","e"
"Statistik der Sterbefälle","Germany",2000,13,"0-29","Male","154","e"
"Statistik der Sterbefälle","Germany",2000,13,"0-29","Female","88","e"
"Statistik der Sterbefälle","Germany",2000,13,"30-34","Male","65","e"
"Statistik der Sterbefälle","Germany",2000,13,"30-34","Female","27","e"
"Statistik der Sterbefälle","Germany",2000,13,"35-39","Male","125","e"
"Statistik der Sterbefälle","Germany",2000,13,"35-39","Female","49","e"
"Statistik der Sterbefälle","Germany",2000,13,"40-44","Male","154","e"
"Statistik der Sterbefälle","Germany",2000,13,"40-44","Female","60","e"
"Statistik der Sterbefälle","Germany",2000,13,"45-49","Male","230","e"
"Statistik der Sterbefälle","Germany",2000,13,"45-49","Female","140","e"
"Statistik der Sterbefälle","Germany",2000,13,"50-54","Male","244","e"
"Statistik der Sterbefälle","Germany",2000,13,"50-54","Female","155","e"
"Statistik der Sterbefälle","Germany",2000,13,"55-59","Male","486","e"
"Statistik der Sterbefälle","Germany",2000,13,"55-59","Female","239","e"
"Statistik der Sterbefälle","Germany",2000,13,"60-64","Male","803","e"
"Statistik der Sterbefälle","Germany",2000,13,"60-64","Female","390","e"
"Statistik der Sterbefälle","Germany",2000,13,"65-69","Male","889","e"
"Statistik der Sterbefälle","Germany",2000,13,"65-69","Female","483","e"
"Statistik der Sterbefälle","Germany",2000,13,"70-74","Male","1120","e"
"Statistik der Sterbefälle","Germany",2000,13,"70-74","Female","789","e"
"Statistik der Sterbefälle","Germany",2000,13,"75-79","Male","1078","e"
"Statistik der Sterbefälle","Germany",2000,13,"75-79","Female","1312","e"
"Statistik der Sterbefälle","Germany",2000,13,"80-84","Male","839","e"
