year,age,population,quality
2011,77,705785,e
2011,78,549808,e
2011,79,527823,e
2011,80,515193,e
2011,81,517075,e
2011,82,475838,e
2011,83,441272,e
2011,84,384053,e
2011,85,347717,e
2011,86,313919,e
2011,87,260884,e
2011,88,224760,e
2011,89,199608,e
2011,90,588853,e
2012,0,674411,e
2012,1,665848,e
2012,2,684310,e
2012,3,674000,e
2012,4,693673,e
2012,5,693323,e
2012,6,679924,e
2012,7,690255,e
2012,8,708941,e
2012,9,709866,e
2012,10,723162,e
2012,11,740709,e
2012,12,774419,e
2012,13,776505,e
2012,14,793557,e
2012,15,819081,e
2012,16,806180,e
2012,17,782723,e
2012,18,797051,e
2012,19,833070,e
2012,20,854829,e
2012,21,896047,e
2012,22,992202,e
2012,23,988850,e
2012,24,1022753,e
2012,25,1009129,e
2012,26,997984,e
2012,27,968465,e
2012,28,969962,e
2012,29,978339,e
2012,30,1004337,e
2012,31,1000455,e
2012,32,1003639,e
2012,33,958884,e
2012,34,947811,e
2012,35,941418,e
2012,36,925567,e
2012,37,901764,e
2012,38,916291,e
2012,39,926976,e
2012,40,1009291,e
2012,41,1115554,e
2012,42,1159128,e
2012,43,1249441,e
2012,44,1311109,e
2012,45,1349727,e
2012,46,1390784,e
2012,47,1397245,e
2012,48,1425407,e
2012,49,1415038,e
2012,50,1371099,e
2012,51,1352831,e
2012,52,1307360,e
2012,53,1272539,e
2012,54,1202105,e
2012,55,1175714,e
2012,56,1142859,e
2012,57,1107669,e
2012,58,1086581,e
2012,59,1050796,e
2012,60,1048257,e
2012,61,1026167,e
2012,62,1024167,e
2012,63,989099,e
2012,64,901914,e
2012,65,844569,e
2012,66,734255,e
2012,67,642874,e
2012,68,854952,e
2012,69,863465,e
2012,70,831646,e
2012,71,1002856,e
2012,72,1044614,e
2012,73,1015924,e
2012,74,931232,e
2012,75,852830,e
2012,76,806578,e
2012,77,757208,e
2012,78,679803,e
2012,79,526630,e
2012,80,502732,e
2012,81,487563,e
2012,82,485876,e
2012,83,443417,e
2012,84,407244,e
2012,85,351099,e
2012,86,314338,e
2012,87,280019,e
2012,88,229147,e
2012,89,194128,e
2012,90,630156,e
2013,0,683070,e
2013,1,684337,e
2013,2,672324,e
2013,3,690111,e
2013,4,679650,e
2013,5,699007,e
2013,6,697337,e
2013,7,684320,e
2013,8,694557,e
2013,9,713339,e
2013,10,714054,e
2013,11,727166,e
2013,12,744676,e
2013,13,778286,e
2013,14,780198,e
2013,15,797607,e
2013,16,824290,e
2013,17,811200,e
2013,18,793290,e
2013,19,814110,e
2013,20,852118,e
2013,21,873480,e
2013,22,914719,e
2013,23,1013206,e
2013,24,1008508,e
2013,25,1041333,e
2013,26,1025853,e
2013,27,1013420,e
2013,28,982960,e
2013,29,982860,e
2013,30,989933,e
2013,31,1015149,e
2013,32,1010056,e
2013,33,1013278,e
2013,34,967553,e
2013,35,956046,e
2013,36,949147,e
2013,37,932728,e
2013,38,908451,e
2013,39,922733,e
2013,40,932501,e
2013,41,1014658,e
2013,42,1120204,e
2013,43,1163336,e
2013,44,1253200,e
2013,45,1314370,e
2013,46,1352049,e
2013,47,1391852,e
2013,48,1397810,e
2013,49,1425513,e
2013,50,1414446,e
2013,51,1369707,e
2013,52,1350725,e
2013,53,1304694,e
2013,54,1269286,e
2013,55,1198221,e
2013,56,1171109,e
2013,57,1137764,e
2013,58,1101783,e
2013,59,1080015,e
2013,60,1043640,e
2013,61,1040177,e
2013,62,1017767,e
2013,63,1014482,e
2013,64,978884,e
2013,65,891371,e
2013,66,833783,e
2013,67,724230,e
2013,68,633358,e
2013,69,841653,e
2013,70,849127,e
2013,71,816708,e
2013,72,983447,e
2013,73,1022605,e
2013,74,992433,e
